;n_nodes;n_edges;n_node_attrs;n_edge_attrs;hidden_dim;batch_size;proc_time
102;50;300;5;50;256;1;0.044834400061517954
103;50;300;5;50;256;16;0.0916834999807179
104;50;300;5;50;256;64;0.24137980001978576
105;50;300;5;50;512;1;0.05868900008499622
106;50;300;5;50;512;16;0.1043921000091359
107;50;300;5;50;512;64;0.2646493000211194
108;50;300;10;5;64;1;0.0354887000285089
109;50;300;10;5;64;16;0.0805512999650091
110;50;300;10;5;64;64;0.22751500003505498
111;50;300;10;5;256;1;0.050255100009962916
112;50;300;10;5;256;16;0.09591609996277839
113;50;300;10;5;256;64;0.2489437999902293
114;50;300;10;5;512;1;0.060260500060394406
115;50;300;10;5;512;16;0.11058169999159873
116;50;300;10;5;512;64;0.25927170005161315
117;50;300;10;10;64;1;0.04014209995511919
118;50;300;10;10;64;16;0.08751079998910427
119;50;300;10;10;64;64;0.2311234000371769
120;50;300;10;10;256;1;0.049710000050254166
121;50;300;10;10;256;16;0.09141930006444454
122;50;300;10;10;256;64;0.2573662999784574
123;50;300;10;10;512;1;0.056737500010058284
124;50;300;10;10;512;16;0.12011339992750436
125;50;300;10;10;512;64;0.259849900030531
126;50;300;10;50;64;1;0.04239330010022968
127;50;300;10;50;64;16;0.08751240000128746
128;50;300;10;50;64;64;0.2481827000156045
129;50;300;10;50;256;1;0.04250729992054403
130;50;300;10;50;256;16;0.09848520008381456
131;50;300;10;50;256;64;0.2538498999783769
132;50;300;10;50;512;1;0.05973109998740256
133;50;300;10;50;512;16;0.11318200000096112
134;50;300;10;50;512;64;0.2673105999128893
135;50;300;50;5;64;1;0.041509500006213784
136;50;300;50;5;64;16;0.09160260006319731
137;50;300;50;5;64;64;0.22539210005197674
138;50;300;50;5;256;1;0.04537419998086989
139;50;300;50;5;256;16;0.10340220003854483
140;50;300;50;5;256;64;0.26248149992898107
141;50;300;50;5;512;1;0.05901870003435761
142;50;300;50;5;512;16;0.10259170003701001
143;50;300;50;5;512;64;0.26870090002194047
144;50;300;50;10;64;1;0.04580409999471158
145;50;300;50;10;64;16;0.08499989996198565
146;50;300;50;10;64;64;0.24629170005209744
147;50;300;50;10;256;1;0.04490169999189675
148;50;300;50;10;256;16;0.09098029998131096
149;50;300;50;10;256;64;0.26690410007722676
150;50;300;50;10;512;1;0.05314530001487583
151;50;300;50;10;512;16;0.11612589994911104
152;50;300;50;10;512;64;0.259313500020653
153;50;300;50;50;64;1;0.04174280003644526
154;50;300;50;50;64;16;0.0804281000746414
155;50;300;50;50;64;64;0.22647709993179888
156;50;300;50;50;256;1;0.05172390001825988
