Algorithm;TryNr;InstanceNr;FitnessWorkload;FitnessDeadline;RandomSeed;BestChromosome
nsga2;2;3;0.46663981119791664;-1174.0;342255;"['job12' 'job0' 'job10' 'job40' 'job35' 'job5' 'job19' 'job7' 'job31'
 'job48' 'job46' 'job6' 'job24' 'job39' 'job8' 'job47' 'job30' 'job33'
 'job4' 'job23' 'job2' 'job15' 'job11' 'job41' 'job26' 'job51' 'job3'
 'job20' 'job28' 'job1' 'job37' 'job16' 'job14' 'job45' 'job9' 'job25'
 'job21' 'job18' 'job42' 'job38' 'job50' 'job36' 'job43' 'job13' 'job44'
 'job17' 'job32' 'job49' 'job52' 'job29' 'job34' 'job22' 'job27']"
nsga2;3;3;0.5031523980034722;-1204.0;411994;"['job18' 'job15' 'job17' 'job40' 'job32' 'job16' 'job6' 'job22' 'job28'
 'job24' 'job26' 'job3' 'job45' 'job51' 'job27' 'job38' 'job43' 'job35'
 'job42' 'job7' 'job2' 'job11' 'job23' 'job20' 'job29' 'job49' 'job25'
 'job30' 'job19' 'job0' 'job21' 'job37' 'job47' 'job1' 'job46' 'job48'
 'job50' 'job9' 'job4' 'job39' 'job5' 'job13' 'job12' 'job36' 'job52'
 'job8' 'job14' 'job34' 'job31' 'job44' 'job41' 'job10' 'job33']"
nsga2;4;3;0.458602309992284;-1178.0;275383;"['job23' 'job12' 'job3' 'job34' 'job30' 'job40' 'job44' 'job31' 'job29'
 'job51' 'job41' 'job1' 'job18' 'job8' 'job13' 'job46' 'job0' 'job21'
 'job50' 'job24' 'job45' 'job19' 'job20' 'job48' 'job47' 'job22' 'job4'
 'job39' 'job10' 'job14' 'job43' 'job27' 'job15' 'job2' 'job7' 'job49'
 'job16' 'job25' 'job32' 'job52' 'job42' 'job17' 'job11' 'job36' 'job37'
 'job9' 'job5' 'job38' 'job26' 'job28' 'job6' 'job33' 'job35']"
nsga2;5;3;0.467430706259645;-1125.0;330910;"['job24' 'job7' 'job20' 'job27' 'job1' 'job23' 'job9' 'job15' 'job40'
 'job26' 'job0' 'job49' 'job18' 'job21' 'job45' 'job41' 'job34' 'job22'
 'job13' 'job2' 'job32' 'job51' 'job16' 'job37' 'job52' 'job50' 'job43'
 'job14' 'job3' 'job25' 'job35' 'job48' 'job17' 'job36' 'job19' 'job33'
 'job11' 'job46' 'job29' 'job28' 'job31' 'job38' 'job30' 'job6' 'job12'
 'job8' 'job4' 'job5' 'job44' 'job47' 'job10' 'job39' 'job42']"
nsga2;6;3;0.4994585503472223;-1174.0;260218;"['job36' 'job29' 'job34' 'job7' 'job2' 'job1' 'job42' 'job45' 'job13'
 'job8' 'job50' 'job44' 'job52' 'job11' 'job26' 'job33' 'job48' 'job4'
 'job19' 'job20' 'job16' 'job14' 'job25' 'job22' 'job10' 'job3' 'job41'
 'job47' 'job18' 'job38' 'job17' 'job32' 'job21' 'job31' 'job15' 'job51'
 'job40' 'job39' 'job27' 'job46' 'job37' 'job9' 'job5' 'job0' 'job24'
 'job23' 'job35' 'job43' 'job28' 'job30' 'job6' 'job12' 'job49']"
nsga2;7;3;0.43336724175347224;-1102.0;246715;"['job12' 'job42' 'job47' 'job8' 'job45' 'job18' 'job46' 'job50' 'job10'
 'job9' 'job21' 'job33' 'job30' 'job14' 'job43' 'job52' 'job6' 'job24'
 'job48' 'job35' 'job1' 'job28' 'job15' 'job19' 'job0' 'job39' 'job27'
 'job34' 'job22' 'job5' 'job49' 'job31' 'job44' 'job11' 'job23' 'job2'
 'job7' 'job29' 'job3' 'job25' 'job4' 'job13' 'job40' 'job17' 'job32'
 'job26' 'job36' 'job37' 'job38' 'job20' 'job41' 'job51' 'job16']"
nsga2;8;3;0.4964724392361111;-1197.0;412766;"['job46' 'job13' 'job50' 'job35' 'job28' 'job42' 'job40' 'job44' 'job25'
 'job22' 'job9' 'job30' 'job39' 'job51' 'job18' 'job52' 'job2' 'job34'
 'job36' 'job16' 'job26' 'job37' 'job38' 'job7' 'job10' 'job23' 'job48'
 'job45' 'job32' 'job15' 'job29' 'job6' 'job41' 'job19' 'job33' 'job20'
 'job49' 'job5' 'job0' 'job24' 'job12' 'job14' 'job21' 'job8' 'job11'
 'job27' 'job43' 'job1' 'job4' 'job31' 'job47' 'job3' 'job17']"
nsga2;9;3;0.407899456259645;-1117.0;460097;"['job43' 'job51' 'job39' 'job40' 'job44' 'job20' 'job21' 'job7' 'job16'
 'job36' 'job5' 'job35' 'job9' 'job13' 'job4' 'job10' 'job48' 'job6'
 'job3' 'job32' 'job18' 'job14' 'job12' 'job33' 'job27' 'job29' 'job42'
 'job34' 'job46' 'job22' 'job17' 'job25' 'job49' 'job38' 'job52' 'job30'
 'job0' 'job23' 'job41' 'job24' 'job11' 'job31' 'job8' 'job19' 'job2'
 'job45' 'job37' 'job47' 'job1' 'job26' 'job50' 'job15' 'job28']"
nsga2;0;4;0.5142308364679784;-1161.0;51409;"['job23' 'job35' 'job17' 'job24' 'job48' 'job1' 'job6' 'job45' 'job41'
 'job7' 'job21' 'job44' 'job38' 'job11' 'job15' 'job19' 'job33' 'job26'
 'job8' 'job4' 'job25' 'job13' 'job3' 'job50' 'job12' 'job20' 'job34'
 'job22' 'job46' 'job29' 'job51' 'job43' 'job31' 'job27' 'job16' 'job52'
 'job9' 'job28' 'job10' 'job47' 'job18' 'job36' 'job32' 'job5' 'job14'
 'job42' 'job49' 'job2' 'job0' 'job40' 'job30' 'job37' 'job39']"
nsga2;1;4;0.4387101236979166;-1175.0;33200;"['job28' 'job48' 'job22' 'job47' 'job31' 'job21' 'job51' 'job13' 'job45'
 'job50' 'job41' 'job16' 'job10' 'job12' 'job35' 'job24' 'job38' 'job8'
 'job0' 'job33' 'job29' 'job34' 'job26' 'job32' 'job23' 'job20' 'job14'
 'job19' 'job25' 'job46' 'job49' 'job6' 'job15' 'job3' 'job39' 'job30'
 'job2' 'job44' 'job11' 'job43' 'job5' 'job9' 'job40' 'job36' 'job17'
 'job27' 'job52' 'job7' 'job18' 'job37' 'job1' 'job42' 'job4']"
